Offence,Year,Number,Rate,State
Abduction/harassment,2009,7,1.5,Queensland
Robbery/extortion,2009,306,65.1,Queensland
Unlawful entry with intent,2009,2130,453.1,Queensland
Theft,2009,5235,1113.6,Queensland
Fraud/deception,2009,166,35.3,Queensland
Illicit drug offences,2009,1545,328.7,Queensland
Weapons/explosives,2009,380,80.8,Queensland
Property damage and environmental pollution,2009,1342,285.5,Queensland
Public order offences,2009,2095,445.6,Queensland
Offences against justice,2009,352,74.9,Queensland
Miscellaneous offences,2009,0,0.0,Queensland
Acts intended to cause injury,2010,2098,444.1,Queensland
Sexual assault and related offences,2010,406,85.9,Queensland
Dangerous/negligent acts,2010,147,31.1,Queensland
Abduction/harassment,2010,6,1.3,Queensland
Robbery/extortion,2010,256,54.2,Queensland
Unlawful entry with intent,2010,2038,431.4,Queensland
Theft,2010,4682,991.1,Queensland
Fraud/deception,2010,145,30.7,Queensland
Illicit drug offences,2010,1584,335.3,Queensland
Weapons/explosives,2010,363,76.8,Queensland
Property damage and environmental pollution,2010,1112,235.4,Queensland
Public order offences,2010,1775,375.7,Queensland
Offences against justice,2010,281,59.5,Queensland
Miscellaneous offences,2010,0,0.0,Queensland
Acts intended to cause injury,2011,1965,412.7,Queensland
Sexual assault and related offences,2011,418,87.8,Queensland
Dangerous/negligent acts,2011,163,34.2,Queensland
Abduction/harassment,2011,3,0.6,Queensland
Robbery/extortion,2011,241,50.6,Queensland
Unlawful entry with intent,2011,2042,428.9,Queensland
Theft,2011,3792,796.4,Queensland
Fraud/deception,2011,133,27.9,Queensland
Illicit drug offences,2011,1751,367.8,Queensland
Weapons/explosives,2011,338,71.0,Queensland
Property damage and environmental pollution,2011,1151,241.7,Queensland
Public order offences,2011,1673,351.4,Queensland
Offences against justice,2011,270,56.7,Queensland
Miscellaneous offences,2011,4,0.8,Queensland
Acts intended to cause injury,2012,1735,362.7,Queensland
Sexual assault and related offences,2012,528,110.4,Queensland
Dangerous/negligent acts,2012,150,31.4,Queensland
Abduction/harassment,2012,8,1.7,Queensland
Robbery/extortion,2012,263,55.0,Queensland
Unlawful entry with intent,2012,1779,371.9,Queensland
Theft,2012,3050,637.5,Queensland
Fraud/deception,2012,110,23.0,Queensland
Illicit drug offences,2012,2108,440.6,Queensland
Weapons/explosives,2012,304,63.5,Queensland
Property damage and environmental pollution,2012,1016,212.4,Queensland
